日付,商品名,地域,売上(円)
2023-07-01,初期構築パック,札幌,50000
2023-07-01,スタンダードプラン,札幌,9800
2023-07-01,スタンダードプラン,福岡,9800
2023-07-01,ライトプラン,東京,4980
2023-07-01,ライトプラン,札幌,4980
2023-07-01,スタンダードプラン,札幌,9800
2023-07-02,オプション追加,東京,6000
2023-07-02,オプション追加,札幌,3000
2023-07-02,オプション追加,福岡,3000
2023-07-02,スタンダードプラン,札幌,9800
2023-07-02,プレミアムプラン,東京,29800
2023-07-02,ライトプラン,名古屋,4980
2023-07-02,スタンダードプラン,札幌,9800
2023-07-02,スタンダードプラン,福岡,9800
2023-07-03,プレミアムプラン,名古屋,59600
2023-07-03,プレミアムプラン,大阪,29800
2023-07-03,スタンダードプラン,札幌,9800
2023-07-03,ライトプラン,福岡,4980
2023-07-03,プレミアムプラン,東京,29800
2023-07-03,ライトプラン,名古屋,4980
2023-07-04,スタンダードプラン,福岡,19600
2023-07-04,スタンダードプラン,札幌,9800
2023-07-04,ライトプラン,名古屋,4980
2023-07-04,保守サポート,札幌,30000
2023-07-04,保守サポート,東京,15000
2023-07-05,初期構築パック,名古屋,50000
2023-07-05,初期構築パック,名古屋,100000
2023-07-05,保守サポート,東京,15000
2023-07-05,オプション追加,大阪,3000
2023-07-05,ライトプラン,東京,9960
2023-07-05,スタンダードプラン,大阪,9800
2023-07-05,保守サポート,福岡,30000
2023-07-05,オプション追加,東京,6000
2023-07-05,スタンダードプラン,札幌,19600
2023-07-06,プレミアムプラン,福岡,29800
2023-07-06,オプション追加,福岡,3000
2023-07-06,オプション追加,大阪,6000
2023-07-06,スタンダードプラン,大阪,9800
2023-07-06,プレミアムプラン,東京,29800
2023-07-06,ライトプラン,名古屋,4980
2023-07-07,ライトプラン,大阪,4980
2023-07-07,保守サポート,福岡,15000
2023-07-07,オプション追加,福岡,6000
2023-07-07,ライトプラン,福岡,4980
2023-07-07,初期構築パック,大阪,50000
2023-07-07,スタンダードプラン,福岡,9800
2023-07-08,スタンダードプラン,札幌,9800
2023-07-08,スタンダードプラン,札幌,9800
2023-07-08,スタンダードプラン,名古屋,9800
2023-07-08,ライトプラン,大阪,4980
2023-07-08,ライトプラン,名古屋,4980
2023-07-08,オプション追加,福岡,3000
2023-07-08,スタンダードプラン,福岡,19600
2023-07-08,ライトプラン,東京,4980
2023-07-09,保守サポート,大阪,30000
2023-07-09,ライトプラン,札幌,4980
2023-07-09,ライトプラン,札幌,4980
2023-07-09,プレミアムプラン,名古屋,29800
2023-07-09,ライトプラン,名古屋,4980
2023-07-09,保守サポート,大阪,15000
2023-07-09,ライトプラン,大阪,4980
2023-07-09,オプション追加,大阪,3000
2023-07-09,ライトプラン,東京,4980
2023-07-10,オプション追加,福岡,3000
2023-07-10,プレミアムプラン,福岡,29800
2023-07-10,保守サポート,名古屋,15000
2023-07-10,スタンダードプラン,大阪,9800
2023-07-10,ライトプラン,大阪,4980
2023-07-10,ライトプラン,福岡,4980
2023-07-10,オプション追加,東京,3000
2023-07-10,オプション追加,福岡,3000
2023-07-10,保守サポート,福岡,15000
2023-07-11,初期構築パック,福岡,50000
2023-07-11,ライトプラン,大阪,4980
2023-07-11,スタンダードプラン,東京,9800
2023-07-11,スタンダードプラン,大阪,19600
2023-07-11,ライトプラン,名古屋,9960
2023-07-11,スタンダードプラン,東京,9800
2023-07-11,スタンダードプラン,札幌,9800
2023-07-11,保守サポート,福岡,15000
2023-07-12,オプション追加,大阪,3000
2023-07-12,スタンダードプラン,名古屋,9800
2023-07-12,ライトプラン,名古屋,4980
2023-07-12,ライトプラン,東京,4980
2023-07-12,オプション追加,福岡,3000
2023-07-13,ライトプラン,札幌,4980
2023-07-13,スタンダードプラン,福岡,9800
2023-07-13,保守サポート,大阪,15000
2023-07-13,スタンダードプラン,札幌,19600
2023-07-13,保守サポート,名古屋,15000
2023-07-14,保守サポート,東京,30000
2023-07-14,オプション追加,大阪,3000
2023-07-14,スタンダードプラン,東京,9800
2023-07-15,保守サポート,福岡,15000
2023-07-15,プレミアムプラン,名古屋,29800
2023-07-15,ライトプラン,札幌,9960
2023-07-15,オプション追加,札幌,3000
2023-07-16,オプション追加,福岡,3000
2023-07-16,スタンダードプラン,福岡,9800
2023-07-16,ライトプラン,大阪,4980
2023-07-16,ライトプラン,名古屋,4980
2023-07-16,保守サポート,名古屋,15000
2023-07-16,スタンダードプラン,福岡,9800
2023-07-17,ライトプラン,大阪,9960
2023-07-17,オプション追加,大阪,3000
2023-07-17,保守サポート,名古屋,30000
2023-07-17,ライトプラン,名古屋,4980
2023-07-17,スタンダードプラン,東京,9800
2023-07-17,ライトプラン,福岡,9960
2023-07-17,保守サポート,名古屋,30000
2023-07-17,ライトプラン,札幌,4980
2023-07-18,オプション追加,大阪,3000
2023-07-18,オプション追加,東京,3000
2023-07-18,プレミアムプラン,大阪,29800
2023-07-18,プレミアムプラン,福岡,29800
2023-07-18,オプション追加,福岡,3000
2023-07-18,スタンダードプラン,名古屋,19600
2023-07-18,スタンダードプラン,大阪,9800
2023-07-18,ライトプラン,名古屋,4980
2023-07-18,オプション追加,名古屋,3000
2023-07-18,スタンダードプラン,東京,9800
2023-07-18,プレミアムプラン,福岡,29800
2023-07-19,ライトプラン,札幌,4980
2023-07-19,スタンダードプラン,東京,9800
2023-07-19,オプション追加,東京,3000
2023-07-19,スタンダードプラン,名古屋,9800
2023-07-19,ライトプラン,名古屋,4980
2023-07-19,ライトプラン,名古屋,4980
2023-07-19,ライトプラン,名古屋,4980
2023-07-19,スタンダードプラン,札幌,9800
2023-07-19,ライトプラン,札幌,4980
2023-07-19,ライトプラン,東京,9960
2023-07-19,初期構築パック,福岡,100000
2023-07-19,ライトプラン,札幌,9960
2023-07-19,プレミアムプラン,大阪,29800
2023-07-20,ライトプラン,福岡,4980
2023-07-20,オプション追加,大阪,3000
2023-07-20,スタンダードプラン,福岡,9800
2023-07-20,スタンダードプラン,福岡,9800
2023-07-20,オプション追加,札幌,3000
2023-07-20,プレミアムプラン,東京,29800
2023-07-20,ライトプラン,名古屋,4980
2023-07-21,オプション追加,大阪,3000
2023-07-21,スタンダードプラン,大阪,9800
2023-07-21,ライトプラン,名古屋,4980
2023-07-21,ライトプラン,名古屋,9960
2023-07-21,ライトプラン,大阪,4980
2023-07-22,ライトプラン,東京,4980
2023-07-22,プレミアムプラン,大阪,29800
2023-07-22,ライトプラン,福岡,4980
2023-07-22,スタンダードプラン,大阪,9800
2023-07-22,スタンダードプラン,札幌,9800
2023-07-22,ライトプラン,福岡,4980
2023-07-22,スタンダードプラン,東京,9800
2023-07-23,ライトプラン,札幌,9960
2023-07-23,スタンダードプラン,札幌,9800
2023-07-23,保守サポート,東京,15000
2023-07-23,スタンダードプラン,名古屋,9800
2023-07-23,オプション追加,福岡,6000
2023-07-23,ライトプラン,札幌,4980
2023-07-23,保守サポート,名古屋,30000
2023-07-23,スタンダードプラン,札幌,9800
2023-07-24,オプション追加,札幌,3000
2023-07-24,スタンダードプラン,名古屋,19600
2023-07-24,保守サポート,大阪,15000
2023-07-24,保守サポート,大阪,15000
2023-07-25,ライトプラン,東京,9960
2023-07-25,ライトプラン,東京,4980
2023-07-25,ライトプラン,東京,4980
2023-07-25,ライトプラン,名古屋,4980
2023-07-25,初期構築パック,札幌,50000
2023-07-25,ライトプラン,福岡,4980
2023-07-26,スタンダードプラン,東京,9800
2023-07-27,プレミアムプラン,福岡,29800
2023-07-27,ライトプラン,札幌,4980
2023-07-27,スタンダードプラン,福岡,9800
2023-07-27,スタンダードプラン,東京,19600
2023-07-27,オプション追加,名古屋,6000
2023-07-27,ライトプラン,東京,4980
2023-07-28,ライトプラン,札幌,4980
2023-07-28,プレミアムプラン,大阪,29800
2023-07-28,ライトプラン,東京,4980
2023-07-28,保守サポート,福岡,15000
2023-07-29,スタンダードプラン,福岡,9800
2023-07-29,保守サポート,名古屋,30000
2023-07-29,保守サポート,名古屋,30000
2023-07-29,ライトプラン,名古屋,4980
2023-07-29,スタンダードプラン,福岡,9800
2023-07-29,スタンダードプラン,東京,9800
2023-07-29,オプション追加,名古屋,3000
2023-07-29,ライトプラン,福岡,9960
2023-07-29,オプション追加,名古屋,3000
2023-07-30,オプション追加,東京,3000
2023-07-30,プレミアムプラン,名古屋,29800
2023-07-30,初期構築パック,大阪,50000
2023-07-30,オプション追加,札幌,6000
2023-07-30,プレミアムプラン,福岡,29800
2023-07-31,初期構築パック,東京,50000
2023-07-31,スタンダードプラン,福岡,19600
2023-07-31,ライトプラン,名古屋,4980
2023-07-31,ライトプラン,大阪,4980
2023-07-31,ライトプラン,名古屋,4980
2023-07-31,プレミアムプラン,福岡,29800
2023-07-31,初期構築パック,福岡,50000
2023-07-31,ライトプラン,東京,9960
2023-07-31,スタンダードプラン,東京,9800
2023-08-01,スタンダードプラン,札幌,19600
2023-08-01,スタンダードプラン,福岡,9800
2023-08-01,ライトプラン,大阪,4980
2023-08-01,スタンダードプラン,札幌,9800
2023-08-01,スタンダードプラン,名古屋,9800
2023-08-02,オプション追加,福岡,6000
2023-08-02,ライトプラン,福岡,4980
2023-08-02,プレミアムプラン,福岡,29800
2023-08-02,プレミアムプラン,大阪,29800
2023-08-02,保守サポート,東京,15000
2023-08-02,プレミアムプラン,福岡,29800
2023-08-02,ライトプラン,福岡,9960
2023-08-03,オプション追加,大阪,3000
2023-08-03,スタンダードプラン,札幌,19600
2023-08-03,ライトプラン,福岡,4980
2023-08-03,オプション追加,福岡,6000
2023-08-03,プレミアムプラン,大阪,29800
2023-08-03,スタンダードプラン,福岡,9800
2023-08-03,スタンダードプラン,東京,9800
2023-08-03,保守サポート,札幌,15000
2023-08-03,オプション追加,大阪,3000
2023-08-03,ライトプラン,東京,9960
2023-08-04,オプション追加,福岡,3000
2023-08-04,プレミアムプラン,東京,29800
2023-08-04,ライトプラン,名古屋,9960
2023-08-04,オプション追加,福岡,3000
2023-08-04,ライトプラン,東京,4980
2023-08-04,オプション追加,東京,3000
2023-08-04,スタンダードプラン,福岡,19600
2023-08-04,スタンダードプラン,福岡,9800
2023-08-04,オプション追加,福岡,3000
2023-08-05,スタンダードプラン,福岡,9800
2023-08-05,ライトプラン,大阪,9960
2023-08-05,スタンダードプラン,札幌,9800
2023-08-05,スタンダードプラン,大阪,19600
2023-08-05,プレミアムプラン,大阪,29800
2023-08-05,ライトプラン,名古屋,4980
2023-08-05,スタンダードプラン,札幌,19600
2023-08-05,スタンダードプラン,福岡,9800
2023-08-06,オプション追加,福岡,3000
2023-08-06,スタンダードプラン,札幌,9800
2023-08-06,スタンダードプラン,東京,9800
2023-08-06,スタンダードプラン,名古屋,19600
2023-08-06,保守サポート,大阪,15000
2023-08-07,プレミアムプラン,札幌,29800
2023-08-07,保守サポート,名古屋,15000
2023-08-07,初期構築パック,名古屋,100000
2023-08-07,オプション追加,大阪,6000
2023-08-07,スタンダードプラン,名古屋,9800
2023-08-07,スタンダードプラン,東京,19600
2023-08-07,ライトプラン,福岡,4980
2023-08-07,ライトプラン,福岡,4980
2023-08-07,スタンダードプラン,大阪,19600
2023-08-08,スタンダードプラン,福岡,9800
